Start date;End date;Net export [MWh] Calculated resolutions;Netherlands (export) [MWh] Calculated resolutions;Netherlands (import) [MWh] Calculated resolutions;Switzerland (export) [MWh] Calculated resolutions;Switzerland (import) [MWh] Calculated resolutions;Denmark (export) [MWh] Calculated resolutions;Denmark (import) [MWh] Calculated resolutions;Czech Republic (export) [MWh] Calculated resolutions;Czech Republic (import) [MWh] Calculated resolutions;Luxembourg (export) [MWh] Calculated resolutions;Luxembourg (import) [MWh] Calculated resolutions;Sweden (export) [MWh] Calculated resolutions;Sweden (import) [MWh] Calculated resolutions;Austria (export) [MWh] Calculated resolutions;Austria (import) [MWh] Calculated resolutions;France (export) [MWh] Calculated resolutions;France (import) [MWh] Calculated resolutions;Poland (export) [MWh] Calculated resolutions;Poland (import) [MWh] Calculated resolutions;Norway (export) [MWh] Calculated resolutions;Norway (import) [MWh] Calculated resolutions;Belgium (export) [MWh] Calculated resolutions;Belgium (import) [MWh] Calculated resolutions
Jan 1, 2024 6:00 PM;Jan 1, 2024 7:00 PM;4,815.67;2,039.52;0.00;122.76;-709.19;3,347.00;0.00;958.00;-228.00;287.50;0.00;507.00;0.00;223.00;-631.75;0.00;-3,294.10;1,630.00;0.00;1,401.25;0.00;0.00;-837.32
Jan 1, 2024 7:00 PM;Jan 1, 2024 8:00 PM;4,322.32;1,254.77;-4.94;216.38;-706.40;3,528.50;0.00;920.00;-181.00;193.50;0.00;74.00;0.00;206.75;-606.50;0.00;-3,657.26;1,736.00;0.00;1,401.00;0.00;0.00;-52.47
Jan 1, 2024 8:00 PM;Jan 1, 2024 9:00 PM;3,244.20;1,827.36;0.00;266.03;-704.82;3,399.00;0.00;842.00;-298.00;155.50;0.00;0.00;0.00;180.75;-546.25;0.00;-3,966.73;1,642.00;0.00;1,401.50;0.00;0.00;-954.13
Jan 1, 2024 9:00 PM;Jan 1, 2024 10:00 PM;3,051.54;1,380.59;-53.83;388.53;-437.24;3,380.00;0.00;744.00;-410.00;140.50;0.00;96.00;0.00;367.75;-548.00;0.00;-4,160.13;1,661.00;0.00;1,401.75;0.00;0.00;-899.39
Jan 1, 2024 10:00 PM;Jan 1, 2024 11:00 PM;1,641.38;1,046.53;-753.27;440.33;-530.53;3,351.50;0.00;781.00;-536.00;75.25;-1.83;0.00;-74.00;354.25;-623.25;0.00;-3,677.98;1,365.00;0.00;1,401.25;0.00;0.00;-976.88
Jan 1, 2024 11:00 PM;Jan 2, 2024 12:00 AM;1,040.12;1,045.69;-730.12;720.30;-440.35;2,316.75;0.00;521.00;-745.00;8.25;-3.58;427.00;0.00;643.50;-768.75;0.00;-3,158.32;804.00;0.00;1,401.25;0.00;0.00;-1,001.50
Jan 2, 2024 12:00 AM;Jan 2, 2024 1:00 AM;1,732.65;844.98;-1,478.88;1,067.31;-480.34;2,804.25;0.00;685.00;-525.00;2.50;-49.40;506.00;0.00;1,114.00;-658.75;0.00;-3,462.66;964.00;0.00;1,401.00;0.00;0.00;-1,001.36
Jan 2, 2024 1:00 AM;Jan 2, 2024 2:00 AM;1,545.82;756.25;-1,698.31;1,022.44;-613.40;3,047.50;0.00;803.00;-274.00;0.00;-90.82;507.00;0.00;1,204.00;-747.25;0.00;-3,774.50;1,004.00;0.00;1,401.00;0.00;0.00;-1,001.08
Jan 2, 2024 2:00 AM;Jan 2, 2024 3:00 AM;1,388.40;554.81;-2,204.49;1,270.78;-502.05;2,901.00;0.00;588.00;-353.00;0.00;-44.59;592.00;0.00;1,336.00;-798.50;0.00;-3,305.42;954.00;0.00;1,401.25;0.00;0.00;-1,001.39
Jan 2, 2024 3:00 AM;Jan 2, 2024 4:00 AM;1,878.58;572.42;-2,505.64;1,243.18;-512.31;3,012.75;0.00;744.00;-201.00;0.00;-84.94;601.00;0.00;1,380.00;-834.25;0.00;-3,067.53;1,130.00;0.00;1,401.00;0.00;0.00;-1,000.09
Jan 2, 2024 4:00 AM;Jan 2, 2024 5:00 AM;2,832.64;687.44;-2,705.81;1,317.84;-533.02;2,794.75;0.00;1,111.00;-68.00;0.00;-92.06;601.00;0.00;1,851.25;-849.00;0.00;-3,136.51;1,441.00;0.00;1,401.00;0.00;0.00;-988.25
Jan 2, 2024 5:00 AM;Jan 2, 2024 6:00 AM;4,009.80;831.87;-2,667.18;1,357.81;-542.78;2,334.50;0.00;1,529.00;-5.00;12.00;-11.17;602.00;0.00;2,123.25;-866.00;0.00;-3,110.61;1,910.00;0.00;1,401.50;0.00;0.00;-889.39
Jan 2, 2024 6:00 AM;Jan 2, 2024 7:00 AM;3,680.50;1,212.88;-1,442.22;824.05;-645.78;2,447.00;0.00;1,746.00;0.00;121.25;0.00;538.00;0.00;1,372.25;-746.50;0.00;-3,959.43;1,826.00;0.00;1,382.25;0.00;0.00;-995.25
Jan 2, 2024 7:00 AM;Jan 2, 2024 8:00 AM;2,997.75;1,157.36;-1,601.09;571.33;-728.53;2,290.75;0.00;2,440.00;0.00;124.75;0.00;83.00;0.00;1,403.25;-749.25;0.00;-4,051.36;1,919.00;0.00;954.50;0.00;0.00;-815.96
Jan 2, 2024 8:00 AM;Jan 2, 2024 9:00 AM;2,439.82;849.92;-1,160.97;476.74;-849.95;2,464.75;0.00;2,527.00;0.00;205.25;0.00;0.00;0.00;1,233.00;-591.50;0.00;-4,122.35;1,611.00;0.00;576.75;0.00;0.00;-779.82
Jan 2, 2024 9:00 AM;Jan 2, 2024 10:00 AM;3,102.94;1,012.76;-75.40;400.57;-1,097.30;2,507.00;0.00;2,260.00;0.00;226.25;0.00;0.00;0.00;1,022.00;-347.75;0.00;-4,163.42;1,486.00;0.00;553.50;0.00;0.00;-681.26
Jan 2, 2024 10:00 AM;Jan 2, 2024 11:00 AM;1,434.21;1,423.77;0.00;376.13;-1,444.04;1,381.50;0.00;2,199.00;0.00;238.00;0.00;0.00;0.00;927.00;-656.25;0.00;-4,228.41;1,643.00;0.00;24.25;-9.25;0.00;-440.50
Jan 2, 2024 11:00 AM;Jan 2, 2024 12:00 PM;-700.19;1,438.92;0.00;330.78;-1,745.87;820.75;-2.00;2,082.00;0.00;297.25;0.00;0.00;0.00;561.00;-759.75;0.00;-4,320.69;1,599.00;0.00;0.00;-98.00;0.00;-903.58
Jan 2, 2024 12:00 PM;Jan 2, 2024 1:00 PM;-356.78;2,005.89;0.00;266.48;-1,557.22;257.00;-29.25;2,003.00;0.00;351.50;0.00;0.00;0.00;460.25;-479.00;0.00;-4,134.52;1,489.00;0.00;0.00;-92.75;0.00;-897.16
Jan 2, 2024 1:00 PM;Jan 2, 2024 2:00 PM;-1,850.27;1,725.37;0.00;334.68;-1,852.37;482.75;-467.50;2,071.00;0.00;230.75;0.00;0.00;0.00;548.75;-640.00;0.00;-4,617.58;1,563.00;0.00;0.00;-251.00;0.00;-978.13
Jan 2, 2024 2:00 PM;Jan 2, 2024 3:00 PM;-1,283.88;1,221.64;0.00;386.08;-1,720.38;220.00;-411.25;2,388.00;0.00;246.25;0.00;0.00;0.00;932.50;-654.75;0.00;-4,625.99;1,748.00;0.00;0.00;-118.25;0.00;-895.73
Jan 2, 2024 3:00 PM;Jan 2, 2024 4:00 PM;-1,439.61;810.83;0.00;416.43;-1,589.08;260.25;-558.25;2,588.00;0.00;230.25;0.00;0.00;0.00;1,237.75;-666.25;0.00;-4,580.05;1,765.00;0.00;0.00;-355.00;0.00;-999.49
Jan 2, 2024 4:00 PM;Jan 2, 2024 5:00 PM;431.09;977.68;0.00;406.06;-1,169.84;477.50;-643.00;2,770.00;0.00;336.25;0.00;0.00;-129.00;1,408.50;-577.00;0.00;-4,178.53;1,923.00;0.00;0.00;-224.75;0.00;-945.78
Jan 2, 2024 5:00 PM;Jan 2, 2024 6:00 PM;806.18;692.45;-13.25;397.49;-1,101.49;282.00;-606.50;2,739.00;0.00;273.50;0.00;0.00;-6.00;1,376.25;-590.25;0.00;-4,012.16;1,975.00;0.00;155.75;-0.75;0.00;-754.86
Jan 2, 2024 6:00 PM;Jan 2, 2024 7:00 PM;2,816.07;1,278.54;0.00;342.19;-1,033.32;443.00;-270.75;2,599.00;0.00;336.25;0.00;0.00;0.00;1,262.25;-474.00;0.00;-3,624.32;1,892.00;0.00;600.00;0.00;0.00;-534.77
Jan 2, 2024 7:00 PM;Jan 2, 2024 8:00 PM;4,757.80;1,004.58;-158.40;430.59;-924.39;2,068.00;0.00;2,495.00;0.00;260.00;0.00;0.00;0.00;1,261.75;-527.75;0.00;-3,916.32;1,716.00;0.00;1,174.50;0.00;12.42;-138.18
Jan 2, 2024 8:00 PM;Jan 2, 2024 9:00 PM;6,328.60;1,191.36;-906.20;693.47;-602.70;1,889.75;0.00;2,468.00;0.00;200.00;0.00;0.00;0.00;1,588.25;-524.25;0.00;-3,709.60;1,737.00;0.00;1,392.50;0.00;911.02;0.00
Jan 2, 2024 9:00 PM;Jan 2, 2024 10:00 PM;8,385.35;1,239.65;-1,035.40;975.97;-338.18;2,836.50;0.00;2,178.00;0.00;154.75;0.00;244.00;0.00;1,684.25;-407.50;0.00;-3,242.15;1,773.00;0.00;1,401.50;0.00;920.96;0.00
Jan 2, 2024 10:00 PM;Jan 2, 2024 11:00 PM;9,488.65;1,404.94;-725.56;1,295.11;-97.79;2,542.25;0.00;1,941.00;-36.00;294.50;0.00;207.00;0.00;1,823.50;-414.25;0.00;-2,452.92;1,630.00;0.00;1,401.50;0.00;675.36;0.00
Jan 2, 2024 11:00 PM;Jan 3, 2024 12:00 AM;11,370.59;1,422.99;-512.25;1,664.21;-5.44;2,961.25;0.00;1,840.00;-85.00;293.50;0.00;479.00;0.00;1,954.50;-331.00;0.00;-2,027.68;1,753.00;0.00;1,401.25;0.00;562.27;0.00
Jan 3, 2024 12:00 AM;Jan 3, 2024 1:00 AM;10,051.61;1,144.44;-473.07;1,490.63;-143.85;3,255.50;0.00;1,820.00;-58.00;195.75;0.00;507.00;0.00;2,211.50;-569.25;0.00;-2,878.75;1,679.00;0.00;1,401.75;0.00;468.97;0.00
Jan 3, 2024 1:00 AM;Jan 3, 2024 2:00 AM;10,131.01;1,317.53;-690.38;1,499.78;-167.12;3,265.25;0.00;1,876.00;-27.00;117.25;0.00;507.00;0.00;2,258.75;-578.00;0.00;-2,916.85;1,656.00;0.00;1,401.50;0.00;611.30;0.00
Jan 3, 2024 2:00 AM;Jan 3, 2024 3:00 AM;11,085.78;1,204.72;-346.67;1,343.57;-53.19;3,215.50;0.00;1,724.00;-144.00;202.75;0.00;507.00;0.00;1,965.00;-506.75;0.00;-1,988.96;1,622.00;0.00;1,401.50;0.00;939.30;0.00
Jan 3, 2024 3:00 AM;Jan 3, 2024 4:00 AM;10,419.55;1,239.98;-368.91;1,320.24;-111.59;3,206.00;0.00;1,668.00;-163.00;216.75;0.00;507.00;0.00;1,908.75;-503.75;0.00;-2,026.90;1,695.00;0.00;1,401.50;0.00;430.48;0.00
Jan 3, 2024 4:00 AM;Jan 3, 2024 5:00 AM;10,315.66;1,383.38;-559.93;1,245.26;-162.82;3,190.50;0.00;1,727.00;-140.00;203.00;0.00;507.00;0.00;1,916.25;-427.25;0.00;-2,107.59;1,755.00;0.00;1,401.50;0.00;384.36;0.00
Jan 3, 2024 5:00 AM;Jan 3, 2024 6:00 AM;8,421.89;1,480.48;-1,485.27;1,319.64;-337.77;2,930.25;0.00;2,011.00;-42.00;56.00;0.00;507.00;0.00;2,203.75;-592.50;0.00;-3,404.67;1,666.00;0.00;1,401.50;0.00;708.47;0.00
Jan 3, 2024 6:00 AM;Jan 3, 2024 7:00 AM;9,783.62;1,478.92;-998.06;1,438.55;-224.64;2,719.50;0.00;2,284.00;-2.00;159.50;0.00;507.00;0.00;2,354.75;-516.75;0.00;-3,273.34;1,795.00;0.00;1,401.25;0.00;659.94;0.00
Jan 3, 2024 7:00 AM;Jan 3, 2024 8:00 AM;10,549.02;1,431.86;-206.91;1,320.35;-134.55;2,445.50;0.00;2,681.00;0.00;287.00;0.00;507.00;0.00;1,925.00;-242.50;0.00;-3,347.82;1,899.00;0.00;1,401.75;0.00;582.33;0.00
Jan 3, 2024 8:00 AM;Jan 3, 2024 9:00 AM;10,257.18;1,158.19;-31.62;1,025.55;-166.56;2,804.50;0.00;2,619.00;0.00;359.00;0.00;507.00;0.00;1,743.75;-236.50;0.00;-3,469.21;1,932.00;0.00;1,401.00;0.00;611.08;0.00
Jan 3, 2024 9:00 AM;Jan 3, 2024 10:00 AM;10,830.96;1,354.20;0.00;1,055.77;-9.36;3,011.25;0.00;2,280.00;0.00;374.50;0.00;507.00;0.00;1,502.25;-70.25;0.00;-3,157.98;1,739.00;0.00;1,401.25;0.00;843.33;0.00
Jan 3, 2024 10:00 AM;Jan 3, 2024 11:00 AM;11,030.06;1,188.89;0.00;1,247.71;-1.88;3,106.25;0.00;2,153.00;-5.00;333.25;0.00;507.00;0.00;1,662.50;-76.50;0.00;-2,948.71;1,704.00;0.00;1,401.50;0.00;758.04;0.00
Jan 3, 2024 11:00 AM;Jan 3, 2024 12:00 PM;10,578.37;1,097.12;0.00;1,243.98;0.00;3,271.75;0.00;1,973.00;-64.00;290.25;0.00;507.00;0.00;1,507.00;-67.25;0.00;-2,923.55;1,551.00;0.00;1,401.50;0.00;790.57;0.00
Jan 3, 2024 12:00 PM;Jan 3, 2024 1:00 PM;10,537.58;929.31;-48.12;1,373.03;0.00;3,293.00;0.00;2,022.00;-29.00;341.75;0.00;507.00;0.00;1,476.50;-82.75;0.00;-3,109.00;1,586.00;0.00;1,401.25;0.00;876.62;0.00
Jan 3, 2024 1:00 PM;Jan 3, 2024 2:00 PM;10,215.51;911.00;-46.64;1,287.06;0.00;3,302.00;0.00;2,076.00;-1.00;297.00;0.00;507.00;0.00;1,443.75;-90.75;0.00;-3,484.38;1,663.00;0.00;1,401.25;0.00;950.21;0.00
Jan 3, 2024 2:00 PM;Jan 3, 2024 3:00 PM;7,769.72;1,286.42;0.00;1,047.50;-89.28;2,940.75;0.00;1,975.00;-60.00;334.25;0.00;507.00;0.00;1,080.00;-82.75;0.00;-3,804.78;1,473.00;0.00;1,391.75;0.00;0.00;-229.15
Jan 3, 2024 3:00 PM;Jan 3, 2024 4:00 PM;5,196.90;1,233.09;0.00;876.57;-226.58;2,354.50;0.00;1,987.00;-140.00;335.00;0.00;503.00;0.00;744.50;-259.75;0.00;-4,067.96;1,428.00;0.00;1,171.50;0.00;0.00;-741.97
Jan 3, 2024 4:00 PM;Jan 3, 2024 5:00 PM;4,840.41;1,421.84;0.00;645.26;-309.26;2,303.25;0.00;2,300.00;0.00;424.25;0.00;73.00;0.00;663.25;-179.75;0.00;-4,027.24;1,650.00;0.00;713.50;0.00;0.00;-837.68
Jan 3, 2024 5:00 PM;Jan 3, 2024 6:00 PM;3,239.59;1,792.47;0.00;442.12;-383.84;1,086.75;0.00;2,246.00;0.00;435.00;0.00;0.00;0.00;523.75;-145.75;0.00;-3,745.49;1,685.00;0.00;152.50;-0.50;0.00;-848.41
Jan 3, 2024 6:00 PM;Jan 3, 2024 7:00 PM;2,648.46;1,662.69;0.00;356.97;-374.31;140.25;-11.50;2,248.00;0.00;427.75;0.00;0.00;0.00;524.00;-177.50;0.00;-3,569.90;1,805.00;0.00;0.00;-189.00;0.00;-193.99
Jan 3, 2024 7:00 PM;Jan 3, 2024 8:00 PM;1,651.33;714.72;-403.50;369.57;-461.25;269.50;-110.00;2,081.00;0.00;286.00;0.00;0.00;0.00;405.00;-188.75;0.00;-3,745.37;1,728.00;0.00;5.00;-67.50;768.91;0.00
Jan 3, 2024 8:00 PM;Jan 3, 2024 9:00 PM;2,977.48;1,617.74;0.00;433.82;-477.93;817.50;0.00;2,159.00;0.00;282.25;0.00;0.00;0.00;611.00;-142.25;0.00;-4,036.93;1,877.00;0.00;278.25;0.00;0.00;-441.96
Jan 3, 2024 9:00 PM;Jan 3, 2024 10:00 PM;2,631.42;2,089.96;0.00;435.65;-602.54;1,230.75;0.00;1,808.00;-6.00;288.50;0.00;0.00;0.00;484.50;-212.00;0.00;-4,118.97;1,411.00;0.00;791.00;0.00;0.00;-968.42
Jan 3, 2024 10:00 PM;Jan 3, 2024 11:00 PM;2,953.46;2,095.45;0.00;463.15;-438.23;1,287.75;0.00;1,308.00;-219.00;311.50;0.00;0.00;0.00;548.75;-322.00;0.00;-3,824.12;1,419.00;0.00;1,293.75;0.00;0.00;-970.54
Jan 3, 2024 11:00 PM;Jan 4, 2024 12:00 AM;5,564.20;1,808.88;0.00;942.08;-157.73;1,984.00;0.00;1,216.00;-339.00;299.75;0.00;0.00;0.00;851.75;-186.75;0.00;-3,369.65;1,413.00;0.00;1,398.00;0.00;0.00;-296.13
Jan 4, 2024 12:00 AM;Jan 4, 2024 1:00 AM;5,348.37;1,518.25;0.00;981.58;-307.93;2,096.50;0.00;1,124.00;-274.00;211.25;0.00;0.00;0.00;1,148.75;-357.75;0.00;-3,354.36;1,550.00;0.00;1,401.25;0.00;0.00;-389.17
Jan 4, 2024 1:00 AM;Jan 4, 2024 2:00 AM;5,769.98;1,758.41;0.00;889.86;-419.44;2,036.25;0.00;1,137.00;-251.00;138.75;0.00;442.00;0.00;1,155.75;-494.25;0.00;-3,389.77;1,567.00;0.00;1,401.75;0.00;0.00;-202.33
